"시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (mm),상대습도 (%),상대습도 (%),평균운량 (10%),일조시간 (hr),바람 (m/s),바람 (m/s),바람 (m/s)
"시점",평균,평균최고,극점최고,평균최저,극점최저,소계,평균,최소,소계,소계,평균풍속,최대풍속,최대순간풍속
"1991. 12",2.2,5.9,12.9,-1.5,-11.1,42.9,69.0,29.0,5.4,112.5,2.2,10.7,15.0
"1992. 01",-0.2,3.4,7.6,-3.4,-9.1,13.6,68.0,27.0,3.7,134.2,2.1,9.0,14.0
"1992. 02",0.7,5.0,15.9,-3.3,-7.8,46.6,62.0,22.0,3.2,188.5,2.5,10.7,15.3
"1992. 03",7.6,12.2,20.2,3.5,-1.5,11.2,58.0,14.0,5.1,176.7,2.3,8.0,11.0
"1992. 04",12.0,17.5,24.3,7.1,1.5,76.5,58.0,12.0,4.7,206.6,2.7,11.0,18.3
"1992. 05",16.4,21.9,29.9,11.7,7.1,155.5,64.0,20.0,4.5,237.2,2.6,8.0,14.2
"1992. 06",20.9,26.0,29.8,16.4,10.8,99.6,66.0,27.0,5.2,241.5,2.5,8.7,17.0
"1992. 07",24.8,28.4,32.4,22.0,19.1,270.1,81.0,30.0,7.9,115.0,2.6,11.7,19.6
"1992. 08",24.8,28.9,32.8,21.4,18.4,418.8,76.0,39.0,6.2,170.4,1.5,10.0,19.0
"1992. 09",20.9,25.1,30.9,16.9,9.3,168.5,71.0,22.0,5.3,174.6,1.8,9.5,17.0
"1992. 10",14.0,18.9,25.1,9.7,4.0,33.6,70.0,27.0,4.0,200.3,1.5,8.0,17.0
"1992. 11",6.2,10.8,17.2,2.1,-9.0,89.5,67.0,17.0,4.1,134.4,1.9,12.0,22.0
"1992. 12",1.5,5.1,13.3,-2.1,-9.7,71.4,65.0,23.0,4.4,138.1,2.0,10.7,20.0
"1993. 01",-1.9,1.9,8.4,-5.5,-11.1,2.2,62.0,23.0,3.8,141.4,2.2,10.2,16.2
"1993. 02",1.0,5.3,14.2,-2.9,-8.6,69.5,63.0,17.0,3.8,158.1,3.1,12.0,18.0
"1993. 03",5.8,10.5,16.6,1.9,-6.2,29.2,63.0,18.0,4.1,176.3,2.6,10.0,14.8
"1993. 04",10.6,15.8,23.5,6.3,-0.3,85.5,63.0,12.0,3.9,185.3,3.1,15.2,24.0
"1993. 05",18.2,23.8,31.9,13.3,9.4,135.7,64.0,21.0,5.4,233.8,2.4,10.7,15.1
"1993. 06",21.3,25.8,29.2,17.8,13.4,198.2,78.0,30.0,6.9,140.0,2.2,9.7,15.3
"1993. 07",23.3,27.6,31.1,19.8,16.2,424.4,77.0,38.0,6.7,161.8,2.1,7.7,15.3
"1993. 08",23.2,27.5,30.6,19.8,16.3,197.8,80.0,35.0,6.5,170.6,2.0,7.5,12.6
"1993. 09",21.2,26.3,30.5,16.9,10.8,56.1,67.0,19.0,4.0,237.5,2.0,9.7,15.8
"1993. 10",13.4,19.3,25.0,8.3,0.6,15.4,61.0,19.0,2.9,228.2,2.2,9.3,15.9
"1993. 11",8.5,12.5,20.9,5.2,-9.0,66.6,70.0,27.0,5.5,107.8,2.4,9.7,14.3
"1993. 12",-0.2,3.8,10.0,-3.8,-11.2,12.1,62.0,21.0,3.6,148.8,2.5,11.2,18.0
"1994. 01",-9.0,6.6,10.0,-4.7,-12.3,6.5,57.7,18.0,4.5,155.5,2.3,9.3,16.3
"1994. 02",0.8,4.9,11.4,-3.2,-10.8,14.8,55.3,12.0,3.8,175.7,2.5,9.7,18.1
"1994. 03",4.0,10.1,18.6,-0.1,-5.5,31.7,59.5,13.0,4.0,215.7,3.2,9.7,16.4
"1994. 04",15.2,20.8,28.9,10.0,5.7,44.9,53.2,14.0,4.4,222.0,2.4,10.3,20.3
"1994. 05",17.9,22.5,28.0,13.4,8.3,152.4,67.1,17.0,4.9,215.3,2.8,10.3,19.7
"1994. 06",22.8,27.4,34.7,18.1,13.4,85.0,67.7,25.0,5.5,217.9,2.2,8.3,15.6
"1994. 07",28.5,33.1,38.4,25.3,21.3,139.5,78.9,31.0,6.1,191.5,2.1,8.2,15.2
"1994. 08",27.6,31.1,37.0,24.4,19.0,232.7,75.6,34.0,6.0,205.6,2.2,8.3,15.3
"1994. 09",21.0,26.7,32.0,16.7,12.1,60.7,68.6,28.0,3.8,231.6,1.9,7.0,15.9
"1994. 10",15.2,19.7,25.9,11.3,3.2,214.5,70.8,23.0,4.1,187.1,2.0,10.3,24.6
"1994. 11",9.3,14.9,19.8,5.4,-2.2,49.6,63.4,15.0,4.1,153.8,2.0,8.2,15.0
"1994. 12",1.1,9.4,12.4,-2.4,-12.6,23.5,59.7,20.0,4.1,155.7,2.3,7.0,15.5
"1995. 01",-2.1,1.8,10.3,-5.7,-11.1,11.6,52.2,14.0,2.9,190.8,2.6,8.7,17.1
"1995. 02",1.2,6.0,9.9,-2.8,-7.9,5.2,56.0,11.0,2.2,199.8,2.2,6.5,12.0
"1995. 03",6.0,10.3,17.1,2.2,-3.6,60.6,64.1,12.0,5.4,153.1,2.8,10.3,22.0
"1995. 04",11.3,16.7,25.2,6.5,-0.4,44.4,53.4,12.0,3.8,239.8,3.1,8.7,19.9
"1995. 05",17.1,22.1,29.0,12.1,6.3,60.6,57.9,10.0,4.7,225.5,2.7,9.7,20.1
"1995. 06",21.6,26.3,29.6,17.5,12.1,70.7,70.5,21.0,6.2,202.7,2.0,5.7,13.2
"1995. 07",24.5,27.8,33.6,21.7,17.7,436.1,81.4,36.0,7.6,146.7,2.5,7.7,17.5
"1995. 08",26.0,29.2,33.7,23.4,18.8,786.6,84.6,38.0,7.4,137.3,2.4,8.0,18.3
"1995. 09",20.0,24.5,28.4,15.7,10.7,47.2,67.5,24.0,4.9,195.0,1.6,9.3,31.5
"1995. 10",15.5,20.6,25.6,10.7,4.2,39.3,60.8,16.0,4.1,216.1,1.7,8.0,20.3
"1995. 11",6.2,11.5,18.6,1.8,-4.3,32.9,56.7,13.0,2.6,200.1,2.3,8.3,20.3
